,Active,rrha_15_rescore,rrha_15_predict,rrha_3_rescore,rrha_3_predict
238,1.0,0.5164164196744789,1.0,0.3145071088177347,1.0
239,1.0,0.625747868380995,1.0,0.6679651298639252,1.0
240,1.0,0.625747868380995,1.0,0.6679651298639252,1.0
241,1.0,0.625747868380995,1.0,0.6738425790239795,1.0
242,1.0,0.625747868380995,1.0,0.6738425790239795,1.0
243,1.0,0.5163774228395874,1.0,0.47620006836522055,1.0
244,1.0,0.3534697651425842,1.0,0.0,0.0
245,1.0,0.0,0.0,0.0,0.0
246,1.0,0.0,0.0,0.0,0.0
247,1.0,0.0,0.0,0.0,0.0
248,1.0,0.3561155310436721,1.0,0.0,0.0
249,1.0,0.3561155310436721,1.0,0.0,0.0
250,1.0,0.3561155310436721,1.0,0.0,0.0
251,1.0,0.0,0.0,0.0,0.0
252,1.0,0.3561155310436721,1.0,0.0,0.0
253,1.0,0.0,0.0,0.0,0.0
254,1.0,0.3561155310436721,1.0,0.0,0.0
255,1.0,0.556686099093233,1.0,0.3145071088177347,1.0
256,1.0,0.0,0.0,0.0,0.0
257,1.0,0.0,0.0,0.47618696107046565,1.0
258,1.0,0.36927963146554466,1.0,0.47618696107046565,1.0
259,1.0,0.36927963146554466,1.0,0.0,0.0
260,1.0,0.5272965680667155,1.0,0.44627604115602615,1.0
261,1.0,0.5272965680667155,1.0,0.47618696107046565,1.0
262,1.0,0.5272965680667155,1.0,0.0,0.0
263,1.0,0.5272965680667155,1.0,0.47618696107046565,1.0
264,1.0,0.422360657199534,1.0,0.41149081983186875,1.0
265,1.0,0.422360657199534,1.0,0.47618696107046565,1.0
266,1.0,0.5271101927660001,1.0,0.0,0.0
267,1.0,0.0,0.0,0.17475415892002322,1.0
268,1.0,0.34545745174778697,1.0,0.0,0.0
269,1.0,0.34545745174778697,1.0,0.0,0.0
270,1.0,0.3561397218740283,1.0,0.0,0.0
271,1.0,0.34545745174778697,1.0,0.0,0.0
272,1.0,0.3453143200467198,1.0,0.47618696107046565,1.0
273,1.0,0.5272965680667155,1.0,0.0,0.0
274,1.0,0.5272965680667155,1.0,0.0,0.0
